OthPC,MotiefV,Comment
1011,1,werk binnenstad Adam
1012,1,werk binnenstad Adam
1012,7,binnenstad Adam
1012,11,binnenstad Adam
1017,11,musea Adam
1064,10,sloterplas sport
1081,6,VU
1101,1,werk Adam ZO
1118,1,Schiphol
1118,2,Schiphol
1118,4,Schiphol
1118,8,Schiphol
1118,11,Schiphol
1118,13,Schiphol
1271,7,winkel Huizen
1334,7,winkel Almere
1442,7,winkel Purmerend
1703,7,winkel Alkmaar NO
1775,1,kassen werk/oppervl overschat
1779,1,kassen werk/oppervl overschat
1825,7,winkel Alkmaar
2262,7,winkel Leidschendam
2312,11,binnenstad Leiden
2321,7,winkel
2333,1,werk Leiden Science
2333,6,univ Leiden Science
2511,1,binnenstad Den Haag
2511,7,binnenstad Den Haag
2511,11,binnenstad Den Haag
2513,7,winkel Den Haag
2595,1,ministeries zak bezoek
2595,2,ministeries zak bezoek
2611,11,binnenstad Delft
2628,6,TU Delft
2641,1,kassen werk/oppervl overschat
2651,1,kassen werk/oppervl overschat
2665,1,kassen werk/oppervl overschat
2671,1,kassen werk/oppervl overschat
2675,1,kassen werk/oppervl overschat
2676,1,kassen werk/oppervl overschat
2678,1,kassen werk/oppervl overschat
2681,1,kassen werk/oppervl overschat
2691,1,kassen werk/oppervl overschat
3011,1,werk rotterdam
3011,2,werk rotterdam
3011,7,winkelen rotterdam
3011,11,binnenstad rotterdam
3012,11,musea Rotterdam
3062,6,Erasmus U
3067,7,Alexandrium
3311,7,Binnenstad Dordrcht
3431,7,Nieuwegein City Plaza
3511,1,werk utrecht binnenstad
3511,2,werk utrecht binnenstad
3511,7,winkelen utrecht binnenstad
3511,11,utrecht binnenstad
3512,11,Utrecht musea
3521,1,werk utrecht jaarbeurs
3521,2,werk utrecht jaarbeurs
3562,7,winkel
3584,1,Utrecht Science park
3584,6,Utrecht Univ
3641,7,winkel Mijdrecht
3701,7,winkel Zeist
3812,7,winkel Amersfoort
3825,7,winkel
3995,7,Houten Rond en Castellum
4461,7,winkel Goes
4811,11,binnenstad Breda
4815,7,winkel Breda
5038,7,winkel
5038,11,binnenstad Tilburg
5211,11,binnenstad Den Bosch
5611,11,binnenstad Den Eindhoven
5612,6,TU Eindhoven
5657,13,Eindhoven airport
5928,1,logistiek werk/oppervl overschat
6211,11,binnenstad Maastricht
6511,7,binnenstad Nijmegen
6511,11,binnenstad Nijmegen
6525,1,radboud U
6525,5,radboud U
6525,6,radboud U
6525,9,radboud U
6525,10,radboud U sport
7311,7,Binnenstad Apeldoorn
7511,7,Binnenstad Enschede
7811,7,winkel Emmen
8011,11,ijsselhallen Zwolle
8911,7,winkel Leeuwarden
9203,7,Drachten winkels
9401,7,Assen winkels
9711,11,Binnenstad Groningen
9712,7,winkel Groningen
9723,7,winkel Groningen Zuid
9747,6,Univ Groningen